,char,tone,rime,ipa,tone_class,pinyin,jyutping,hangul,rime_index,meter_class
7096,闠,去,隊,hwoj,H,hùi,kui2,궤,5,0
7097,闡,上,獮,tsyhen,X,chǎn,zin2,천,7,0
7098,闢,入,昔,bjiek,E,pì,pik1,벽,12,0
7099,闤,平,刪,hwaen,L,huán,waan4,환,7,1
7100,闥,入,曷,that,E,tà,taat3,달,7,0
7101,阜,上,有,bjuw,X,fù,fau6,부,14,0
7102,阡,平,先,tshen,L,qiān,cin1,천,7,1
7103,阨,去,卦,'ea,H,è,aai3,액,5,0
7104,阪,上,阮,pjon,X,bǎn,baan2,판,6,0
7105,阬,平,庚,khaeng,L,kēng,gong1,갱,12,1
7106,阮,平,元,ngjwon,L,ruǎn,jyun2,완,6,1
7107,阯,上,止,tsyi,X,zhǐ,zi2,지,3,0
7108,阱,上,靜,dzjeng,X,jǐng,zing6,정,12,0
7109,防,平,陽,bjang,L,fáng,fong4,방,11,1
7110,阻,上,語,tsrjo,X,zǔ,zo2,조,4,0
7111,阽,平,鹽,yem,L,diàn,dim3,점,16,1
7112,阿,平,歌,'a,L,ā,aa3,아,9,1
7113,陀,平,歌,da,L,tuó,to4,타,9,1
7114,陁,平,歌,da,L,tuó,to4,타,9,1
7115,陂,平,支,pje,L,bēi,bei1,피,3,1
7116,附,去,遇,bju,H,fù,fu6,부,4,0
7117,陊,上,紙,drje,X,duò,do6,치,3,0
7118,陋,去,候,luw,H,lòu,lau6,누,14,0
7119,陌,入,陌,maek,E,mò,mak6,맥,12,0
7120,降,平,江,haewng,L,jiàng,gong3,강,2,1
7121,限,上,產,hean,X,xiàn,haan6,한,7,0
7122,陑,平,之,nyi,L,ér,ji4,이,3,1
7123,陔,平,咍,koj,L,gāi,goi1,해,5,1
7124,陘,平,青,heng,L,xíng,jing4,형,12,1
